Cluster Type,Cluster Label,MAE,RMSE,MSE,R2
Cluster_Personal,0,598.8694447064549,870.5118135670382,757790.8175597739,-0.03977706595617647
Cluster_Personal,1,600.6633288548705,726.647746618719,528016.947666062,-0.2429782520326218
Cluster_Personal,2,707.9970813256158,986.7890610219467,973752.6509525753,-0.024101905583225225
Cluster_Health,0,834.5992794331506,1085.3746304778747,1178038.0884849832,-0.1719219903841116
Cluster_Health,1,676.6479554494036,965.431567948924,932058.1123923179,-0.10598859013172701
Cluster_Health,2,585.3929877932744,807.8238403591661,652579.3570526314,0.023775694699516237
Cluster_Credit,0,611.8710515771313,710.7833174332787,505212.9243414571,-0.1342240345908814
Cluster_Credit,1,596.2953413913463,787.6697822689158,620423.6858995613,-0.001787727084824553
Cluster_Credit,2,739.3820361122724,1037.7806723887663,1076988.7239836801,0.018639358955561125
